iter	Passed	Remaining
0	4	4200
1	8	4278
2	12	4193
3	16	4147
4	20	4033
5	23	3948
6	27	3927
7	31	3867
8	33	3729
9	37	3711
10	41	3686
11	44	3669
12	48	3650
13	51	3631
14	55	3627
15	58	3616
16	62	3623
17	66	3618
18	70	3633
19	77	3777
20	80	3770
21	84	3754
22	88	3742
23	92	3742
24	95	3743
25	99	3735
26	103	3729
27	107	3731
28	111	3722
29	114	3716
30	118	3699
31	122	3691
32	125	3672
33	129	3666
34	132	3652
35	135	3637
36	139	3638
37	143	3633
38	168	4162
39	172	4141
40	176	4122
41	179	4096
42	183	4073
43	186	4052
44	190	4032
45	193	4012
46	197	3995
47	215	4270
48	218	4241
49	221	4212
50	225	4188
51	228	4165
52	232	4147
53	236	4141
54	240	4126
55	244	4114
56	247	4094
57	250	4075
58	254	4057
59	258	4044
60	262	4036
61	265	4023
62	270	4016
63	273	4005
64	278	4001
65	282	3991
66	285	3978
67	289	3962
68	292	3950
69	296	3933
70	299	3922
71	304	3920
72	308	3911
73	323	4052
74	327	4041
75	339	4129
76	343	4115
77	346	4101
78	350	4084
79	353	4068
80	357	4051
81	360	4036
82	364	4023
83	367	4012
84	371	4002
85	375	3989
86	379	3978
87	382	3966
88	386	3951
89	389	3938
90	393	3926
91	396	3916
92	400	3905
93	404	3893
94	407	3881
95	411	3873
96	415	3865
97	418	3854
98	422	3844
99	426	3835
100	430	3833
101	434	3825
102	446	3890
103	450	3879
104	453	3868
105	457	3856
106	461	3855
107	477	3946
108	481	3934
109	484	3922
110	488	3912
111	492	3902
112	495	3891
113	499	3882
114	503	3872
115	506	3859
116	509	3847
117	513	3838
118	517	3827
119	520	3816
120	524	3812
121	528	3804
122	532	3794
123	535	3784
124	539	3775
125	542	3765
126	546	3757
127	549	3745
128	553	3735
129	560	3748
130	563	3740
131	567	3731
132	570	3721
133	574	3711
134	577	3701
135	581	3691
136	584	3681
137	588	3673
138	592	3668
139	601	3692
140	604	3682
141	607	3673
142	611	3662
143	614	3653
144	618	3645
145	621	3638
146	625	3631
147	629	3624
148	633	3616
149	636	3607
150	640	3599
151	643	3590
152	647	3582
153	651	3577
154	655	3571
155	659	3565
156	662	3559
157	666	3553
158	670	3545
159	673	3537
160	677	3531
161	681	3527
162	709	3645
163	713	3635
164	716	3627
165	720	3621
166	724	3613
167	728	3606
168	731	3596
169	734	3587
170	738	3580
171	741	3571
172	745	3562
173	748	3554
174	752	3548
175	756	3541
176	760	3533
177	763	3525
178	766	3517
179	770	3509
180	773	3501
181	777	3494
182	780	3486
183	784	3480
184	788	3474
185	792	3466
186	795	3459
187	799	3452
188	802	3444
189	806	3438
190	810	3431
191	814	3426
192	818	3420
193	821	3413
194	825	3406
195	828	3399
196	832	3392
197	836	3386
198	839	3379
199	843	3374
200	847	3369
201	851	3363
202	855	3356
203	858	3350
204	862	3343
205	865	3335
206	869	3329
207	873	3324
208	876	3318
209	880	3313
210	884	3307
211	888	3302
212	892	3296
213	896	3291
214	900	3286
215	903	3280
216	907	3273
217	911	3268
218	915	3263
219	919	3258
220	922	3252
221	926	3246
222	930	3241
223	933	3235
224	937	3229
225	941	3223
226	944	3217
227	948	3212
228	952	3207
229	956	3201
230	959	3195
231	963	3189
232	967	3183
233	970	3177
234	974	3173
235	978	3167
236	982	3162
237	986	3157
238	989	3152
239	993	3146
240	997	3141
241	1001	3135
242	1005	3130
243	1009	3127
244	1013	3123
245	1017	3118
246	1021	3112
247	1024	3107
248	1028	3102
249	1032	3096
250	1035	3090
251	1039	3086
252	1043	3081
253	1047	3075
254	1051	3070
255	1054	3064
256	1058	3059
257	1061	3053
258	1065	3048
259	1069	3042
260	1073	3038
261	1077	3034
262	1081	3029
263	1084	3024
264	1088	3019
265	1092	3014
266	1095	3008
267	1099	3003
268	1103	2997
269	1106	2992
270	1110	2987
271	1114	2982
272	1118	2977
273	1121	2972
274	1125	2967
275	1129	2962
276	1133	2957
277	1136	2952
278	1151	2975
279	1155	2970
280	1158	2964
281	1162	2958
282	1165	2953
283	1169	2948
284	1173	2943
285	1197	2989
286	1200	2983
287	1213	2999
288	1216	2993
289	1220	2987
290	1223	2981
291	1227	2975
292	1230	2970
293	1234	2964
294	1238	2959
295	1242	2954
296	1246	2949
297	1249	2943
298	1253	2938
299	1257	2933
300	1260	2927
301	1264	2922
302	1268	2916
303	1272	2914
304	1276	2908
305	1280	2903
306	1283	2897
307	1287	2892
308	1291	2887
309	1294	2881
310	1298	2877
311	1302	2872
312	1306	2868
313	1310	2862
314	1313	2857
315	1317	2851
316	1321	2846
317	1324	2840
318	1328	2835
319	1332	2831
320	1335	2825
321	1339	2820
322	1343	2815
323	1347	2810
324	1350	2805
325	1354	2800
326	1358	2795
327	1361	2789
328	1365	2785
329	1369	2781
330	1373	2776
331	1377	2770
332	1381	2766
333	1384	2760
334	1388	2755
335	1392	2750
336	1395	2745
337	1399	2741
338	1403	2736
339	1407	2731
340	1410	2726
341	1414	2721
342	1418	2716
343	1422	2711
344	1426	2707
345	1430	2703
346	1433	2698
347	1437	2693
348	1441	2689
349	1445	2684
350	1448	2678
351	1452	2674
352	1456	2669
353	1460	2665
354	1464	2660
355	1468	2656
356	1472	2651
357	1475	2646
358	1479	2641
359	1483	2637
360	1503	2661
361	1507	2656
362	1510	2651
363	1514	2646
364	1518	2641
365	1522	2637
366	1526	2633
367	1530	2628
368	1534	2623
369	1538	2618
370	1541	2613
371	1545	2609
372	1549	2603
373	1552	2598
374	1556	2594
375	1560	2589
376	1564	2585
377	1568	2581
378	1572	2576
379	1575	2571
380	1579	2566
381	1583	2561
382	1586	2556
383	1610	2582
384	1613	2577
385	1617	2572
386	1621	2568
387	1625	2563
388	1629	2558
389	1632	2553
390	1636	2548
391	1640	2543
392	1643	2538
393	1647	2533
394	1656	2537
395	1660	2532
396	1664	2527
397	1668	2523
398	1671	2518
399	1675	2513
400	1679	2508
401	1683	2503
402	1687	2499
403	1690	2494
404	1694	2489
405	1698	2484
406	1702	2480
407	1705	2474
408	1709	2470
409	1713	2465
410	1717	2460
411	1721	2456
412	1725	2452
413	1729	2447
414	1732	2442
415	1748	2454
416	1751	2449
417	1755	2444
418	1759	2439
419	1763	2434
420	1766	2430
421	1770	2425
422	1774	2420
423	1778	2415
424	1781	2410
425	1785	2406
426	1789	2401
427	1793	2396
428	1797	2392
429	1800	2387
430	1804	2382
431	1808	2377
432	1812	2372
433	1816	2368
434	1820	2364
435	1824	2359
436	1828	2355
437	1831	2350
438	1835	2345
439	1839	2341
440	1854	2351
441	1858	2346
442	1862	2341
443	1865	2336
444	1869	2331
445	1872	2326
446	1876	2321
447	1880	2316
448	1888	2317
449	1892	2312
450	1895	2307
451	1899	2302
452	1902	2297
453	1906	2292
454	1909	2287
455	1913	2282
456	1916	2277
457	1920	2272
458	1924	2268
459	1928	2263
460	1931	2258
461	1935	2253
462	1938	2248
463	1942	2243
464	1946	2239
465	1949	2234
466	1953	2229
467	1956	2224
468	1960	2219
469	1964	2214
470	1967	2209
471	1970	2204
472	1974	2200
473	1978	2195
474	1982	2190
475	1985	2185
476	1988	2180
477	1990	2174
478	1994	2169
479	1997	2164
480	2006	2165
481	2010	2160
482	2013	2155
483	2017	2150
484	2021	2146
485	2024	2141
486	2028	2136
487	2031	2131
488	2035	2126
489	2038	2121
490	2042	2117
491	2045	2112
492	2049	2107
493	2053	2103
494	2056	2098
495	2059	2093
496	2063	2088
497	2066	2083
498	2070	2078
499	2073	2073
500	2077	2069
501	2080	2064
502	2084	2059
503	2088	2055
504	2091	2050
505	2095	2045
506	2098	2040
507	2102	2036
508	2106	2031
509	2110	2027
510	2113	2022
511	2117	2017
512	2120	2013
513	2124	2008
514	2127	2003
515	2131	1998
516	2134	1994
517	2138	1989
518	2142	1985
519	2145	1980
520	2149	1976
521	2153	1971
522	2156	1966
523	2160	1962
524	2163	1957
525	2167	1952
526	2170	1948
527	2174	1943
528	2178	1939
529	2181	1934
530	2185	1930
531	2189	1925
532	2192	1921
533	2196	1916
534	2199	1912
535	2203	1907
536	2205	1901
537	2209	1897
538	2213	1893
539	2216	1888
540	2220	1883
541	2224	1879
542	2227	1874
543	2231	1870
544	2234	1865
545	2238	1861
546	2242	1857
547	2245	1852
548	2249	1847
549	2265	1853
550	2269	1849
551	2272	1844
552	2276	1839
553	2279	1835
554	2283	1830
555	2286	1826
556	2290	1821
557	2293	1816
558	2297	1812
559	2310	1815
560	2313	1810
561	2317	1805
562	2320	1801
563	2323	1796
564	2327	1791
565	2330	1787
566	2334	1782
567	2337	1778
568	2341	1773
569	2345	1769
570	2349	1764
571	2352	1760
572	2356	1755
573	2359	1751
574	2363	1746
575	2366	1742
576	2371	1738
577	2374	1733
578	2378	1729
579	2381	1724
580	2385	1720
581	2388	1715
582	2392	1711
583	2396	1706
